1.9777 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
70.7678 	EXP 	grating: ori = 280.0
70.7688 	DATA 	Keypress: down
71.1013 	EXP 	polygon: autoDraw = True
71.1013 	EXP 	polygon_2: autoDraw = True
71.1013 	EXP 	grating: autoDraw = True
71.1013 	EXP 	grating: tex = 'sin'
71.1848 	EXP 	grating: autoDraw = False
71.7686 	EXP 	polygon: autoDraw = False
71.7686 	EXP 	polygon_2: autoDraw = False
71.7686 	EXP 	grating: autoDraw = False
71.7686 	EXP 	grating: ori = 260.0
71.7696 	DATA 	Keypress: up
72.1022 	EXP 	polygon: autoDraw = True
72.1022 	EXP 	polygon_2: autoDraw = True
72.1022 	EXP 	grating: autoDraw = True
72.1022 	EXP 	grating: tex = 'sin'
72.1855 	EXP 	grating: autoDraw = False
72.7028 	EXP 	polygon: autoDraw = False
72.7028 	EXP 	polygon_2: autoDraw = False
72.7028 	EXP 	grating: autoDraw = False
72.7028 	EXP 	grating: ori = 280.0
72.7037 	DATA 	Keypress: down
73.0363 	EXP 	polygon: autoDraw = True
73.0363 	EXP 	polygon_2: autoDraw = True
73.0363 	EXP 	grating: autoDraw = True
73.0363 	EXP 	grating: tex = 'sin'
73.1197 	EXP 	grating: autoDraw = False
73.6201 	EXP 	polygon: autoDraw = False
73.6201 	EXP 	polygon_2: autoDraw = False
73.6201 	EXP 	grating: autoDraw = False
73.6201 	EXP 	grating: ori = 260.0
73.6212 	DATA 	Keypress: up
73.9538 	EXP 	polygon: autoDraw = True
73.9538 	EXP 	polygon_2: autoDraw = True
73.9538 	EXP 	grating: autoDraw = True
73.9538 	EXP 	grating: tex = 'sin'
74.0371 	EXP 	grating: autoDraw = False
74.7711 	EXP 	polygon: autoDraw = False
74.7711 	EXP 	polygon_2: autoDraw = False
74.7711 	EXP 	grating: autoDraw = False
74.7711 	EXP 	grating: ori = 260.0
74.7720 	DATA 	Keypress: up
75.1048 	EXP 	polygon: autoDraw = True
75.1048 	EXP 	polygon_2: autoDraw = True
75.1048 	EXP 	grating: autoDraw = True
75.1048 	EXP 	grating: tex = 'sin'
75.1881 	EXP 	grating: autoDraw = False
75.7565 	EXP 	window1: mouseVisible = True
